journal_title,publisher,issn
Microsystem Technologies,Springer Science and Business Media LLC,1432-1858
English Language Notes,Duke University Press,0013-8282
English Language Notes,Duke University Press,2573-3575
Journal of Apicultural Research,Informa UK Limited,0021-8839
Journal of Apicultural Research,Informa UK Limited,2078-6913
Ecohydrology,Wiley,1936-0584
Ecohydrology,Wiley,1936-0592
Ethology,Wiley,0179-1613
Ethology,Wiley,1439-0310
Photomedicine and Laser Surgery,Mary Ann Liebert Inc,1549-5418
Photomedicine and Laser Surgery,Mary Ann Liebert Inc,1557-8550
"The journal of nutrition, health & aging",Springer Science and Business Media LLC,1279-7707
"The journal of nutrition, health & aging",Springer Science and Business Media LLC,1760-4788
Geriatrics & Gerontology International,Wiley,1444-1586
Geriatrics & Gerontology International,Wiley,1447-0594
Journal of Coordination Chemistry,Informa UK Limited,0095-8972
Journal of Coordination Chemistry,Informa UK Limited,1026-7441
Journal of Coordination Chemistry,Informa UK Limited,1029-0389
Geophysical Research Letters,American Geophysical Union (AGU),0094-8276
Geophysical Research Letters,American Geophysical Union (AGU),1944-8007
Advanced Materials Interfaces,Wiley,2196-7350
Feminist Economics,Informa UK Limited,1354-5701
Feminist Economics,Informa UK Limited,1466-4372
Bratislava Medical Journal,"AEPress, s.r.o.",0006-9248
Bratislava Medical Journal,"AEPress, s.r.o.",1336-0345
Advances in Colloid and Interface Science,Elsevier BV,0001-8686
Advances in Colloid and Interface Science,Elsevier BV,1873-3727
Colloids and Surfaces A: Physicochemical and Engineering Aspects,Elsevier BV,0927-7757
Colloids and Surfaces A: Physicochemical and Engineering Aspects,Elsevier BV,1873-4359
Seminars in Cell & Developmental Biology,Elsevier BV,1084-9521
Seminars in Cell & Developmental Biology,Elsevier BV,1096-3634
Veterinary Research,Springer Nature,0928-4249
Veterinary Research,Springer Nature,1297-9716
City & Community,Wiley,1535-6841
City & Community,Wiley,1540-6040
Autoimmunity,Informa UK Limited,0891-6934
Autoimmunity,Informa UK Limited,1026-7859
Autoimmunity,Informa UK Limited,1607-842X
PhytoKeys,Pensoft Publishers,1314-2003
PhytoKeys,Pensoft Publishers,1314-2011
"IET Science, Measurement & Technology",Institution of Engineering and Technology (IET),1751-8822
"IET Science, Measurement & Technology",Institution of Engineering and Technology (IET),1751-8830
Toxicologic Pathology,SAGE Publications,0192-6233
Toxicologic Pathology,SAGE Publications,1533-1601
Quarterly Journal of Speech,Informa UK Limited,0033-5630
Quarterly Journal of Speech,Informa UK Limited,1479-5779
Organic Process Research & Development,American Chemical Society (ACS),1083-6160
Organic Process Research & Development,American Chemical Society (ACS),1520-586X
Polymer,Elsevier BV,0032-3861
Polymer,Elsevier BV,1873-2291
IET Power Electronics,Institution of Engineering and Technology (IET),1755-4535
IET Power Electronics,Institution of Engineering and Technology (IET),1755-4543
Field Crops Research,Elsevier BV,0378-4290
Field Crops Research,Elsevier BV,1872-6852
Nuclear Science and Techniques,Springer Nature,1001-8042
Nuclear Science and Techniques,Springer Nature,2210-3147
"Plant, Cell & Environment",Wiley,0140-7791
"Plant, Cell & Environment",Wiley,1365-3040
Applied Geography,Elsevier BV,0143-6228
Applied Geography,Elsevier BV,1873-7730
World Journal of Urology,Springer Science and Business Media LLC,0724-4983
World Journal of Urology,Springer Science and Business Media LLC,1433-8726
Journal of Biomedical Nanotechnology,American Scientific Publishers,1550-7033
Journal of Biomedical Nanotechnology,American Scientific Publishers,1550-7041
Journal of Experimental Psychology: General,American Psychological Association (APA),0096-3445
Journal of Experimental Psychology: General,American Psychological Association (APA),1939-2222
Archives of Rheumatology,Baycinar Tibbi Yayincilik,2148-5046
Archives of Rheumatology,Baycinar Tibbi Yayincilik,2618-6500
International Journal of Public Health,Springer Science and Business Media LLC,1661-8556
International Journal of Public Health,Springer Science and Business Media LLC,1661-8564
Frontiers in Genetics,Frontiers Media SA,1664-8021
PLOS Genetics,Public Library of Science (PLoS),1553-7390
PLOS Genetics,Public Library of Science (PLoS),1553-7404
Science China Information Sciences,Springer Science and Business Media LLC,1674-733X
Science China Information Sciences,Springer Science and Business Media LLC,1869-1919
Compost Science & Utilization,Informa UK Limited,1065-657X
Compost Science & Utilization,Informa UK Limited,2326-2397
The Clinical Journal of Pain,Ovid Technologies (Wolters Kluwer Health),0749-8047
The Clinical Journal of Pain,Ovid Technologies (Wolters Kluwer Health),1536-5409
Chilean journal of agricultural research,SciELO Comision Nacional de Investigacion Cientifica Y Tecnologica (CONICYT),0718-5820
Chilean journal of agricultural research,SciELO Comision Nacional de Investigacion Cientifica Y Tecnologica (CONICYT),0718-5839
Applied Radiation and Isotopes,Elsevier BV,0969-8043
Applied Radiation and Isotopes,Elsevier BV,1872-9800
Journal of Information Technology,SAGE Publications,0268-3962
Journal of Information Technology,SAGE Publications,1466-4437
Analytical Sciences,Japan Society for Analytical Chemistry,0910-6340
Analytical Sciences,Japan Society for Analytical Chemistry,1348-2246
Clinica Chimica Acta,Elsevier BV,0009-8981
Clinica Chimica Acta,Elsevier BV,1873-3492
Transplantation,Ovid Technologies (Wolters Kluwer Health),0041-1337
Transplantation,Ovid Technologies (Wolters Kluwer Health),1534-6080
Accounts of Chemical Research,American Chemical Society (ACS),0001-4842
Accounts of Chemical Research,American Chemical Society (ACS),1520-4898
Haematologica,Ferrata Storti Foundation (Haematologica),0390-6078
Haematologica,Ferrata Storti Foundation (Haematologica),1592-8721
Fusion Engineering and Design,Elsevier BV,0920-3796
Fusion Engineering and Design,Elsevier BV,1873-7196
Radiophysics and Quantum Electronics,Springer Science and Business Media LLC,0033-8443
Radiophysics and Quantum Electronics,Springer Science and Business Media LLC,1573-9120
Health Policy and Technology,Elsevier BV,2211-8837
Health Policy and Technology,Elsevier BV,2211-8845
Genes,MDPI AG,2073-4425
Natural Language & Linguistic Theory,Springer Science and Business Media LLC,0167-806X
Natural Language & Linguistic Theory,Springer Science and Business Media LLC,1573-0859
Pathogens and Disease,Oxford University Press (OUP),2049-632X
The Journal of Bone and Joint Surgery,Ovid Technologies (Wolters Kluwer Health),0021-9355
The Journal of Bone and Joint Surgery,Ovid Technologies (Wolters Kluwer Health),1058-2436
The Journal of Bone and Joint Surgery,Ovid Technologies (Wolters Kluwer Health),1535-1386
Journal of Pharmaceutical and Biomedical Analysis,Elsevier BV,0731-7085
Journal of Pharmaceutical and Biomedical Analysis,Elsevier BV,1873-264X
The International Journal of Psychoanalysis,Informa UK Limited,0020-7578
The International Journal of Psychoanalysis,Informa UK Limited,1745-8315
Advanced Drug Delivery Reviews,Elsevier BV,0169-409X
Advanced Drug Delivery Reviews,Elsevier BV,1872-8294
Journal of Occupational Rehabilitation,Springer Science and Business Media LLC,1053-0487
Journal of Occupational Rehabilitation,Springer Science and Business Media LLC,1573-3688
Zoonoses and Public Health,Wiley,1863-1959
Zoonoses and Public Health,Wiley,1863-2378
The Review of Higher Education,Project Muse,0162-5748
The Review of Higher Education,Project Muse,1090-7009
Neurology,Ovid Technologies (Wolters Kluwer Health),0028-3878
Neurology,Ovid Technologies (Wolters Kluwer Health),1526-632X
European Constitutional Law Review,Cambridge University Press (CUP),1574-0196
European Constitutional Law Review,Cambridge University Press (CUP),1744-5515
Journal of Clinical Child & Adolescent Psychology,Informa UK Limited,1537-4416
Journal of Clinical Child & Adolescent Psychology,Informa UK Limited,1537-4424
Journal of Developmental Origins of Health and Disease,Cambridge University Press (CUP),2040-1744
Journal of Developmental Origins of Health and Disease,Cambridge University Press (CUP),2040-1752
EuroIntervention,Europa Digital & Publishing,1774-024X
EuroIntervention,Europa Digital & Publishing,1969-6213
Noro Psikiyatri Arsivi,Turk Noropsikiyatri Dernegi,1300-0667
The Physics of Metals and Metallography,Pleiades Publishing Ltd,0031-918X
The Physics of Metals and Metallography,Pleiades Publishing Ltd,1555-6190
Hong Kong Journal of Emergency Medicine,SAGE Publications,1024-9079
Hong Kong Journal of Emergency Medicine,SAGE Publications,2309-5407
Wiener klinische Wochenschrift,Springer Science and Business Media LLC,0043-5325
Wiener klinische Wochenschrift,Springer Science and Business Media LLC,1613-7671
Soil Science,Ovid Technologies (Wolters Kluwer Health),0038-075X
Soil Science,Ovid Technologies (Wolters Kluwer Health),1538-9243
Oral Radiology,Springer Science and Business Media LLC,0911-6028
Oral Radiology,Springer Science and Business Media LLC,1613-9674
Macromolecular Chemistry and Physics,Wiley,1022-1352
Macromolecular Chemistry and Physics,Wiley,1521-3935
Environmental Science: Processes & Impacts,Royal Society of Chemistry (RSC),2050-7887
Environmental Science: Processes & Impacts,Royal Society of Chemistry (RSC),2050-7895
Srpski arhiv za celokupno lekarstvo,National Library of Serbia,0370-8179
Srpski arhiv za celokupno lekarstvo,National Library of Serbia,2406-0895
Journal of Interprofessional Care,Informa UK Limited,1356-1820
Journal of Interprofessional Care,Informa UK Limited,1469-9567
Sleep,Oxford University Press (OUP),0161-8105
Sleep,Oxford University Press (OUP),1550-9109
Sculpture Review,SAGE Publications,0747-5284
Sculpture Review,SAGE Publications,2632-3494
Medycyna Weterynaryjna,Medycyna Weterynaryjna - Redakcja,0025-8628
Indian Journal of Ophthalmology,Medknow,0301-4738
Indian Journal of Ophthalmology,Medknow,1998-3689
Journal of the Pakistan Medical Association,ScopeMed International Medical Journal Management and Indexing System,0030-9982
Nature Biotechnology,Springer Science and Business Media LLC,1087-0156
Nature Biotechnology,Springer Science and Business Media LLC,1546-1696
Bioresource Technology,Elsevier BV,0960-8524
Bioresource Technology,Elsevier BV,1873-2976
Molecular Carcinogenesis,Wiley,0899-1987
Molecular Carcinogenesis,Wiley,1098-2744
Topics in Stroke Rehabilitation,Informa UK Limited,1074-9357
Topics in Stroke Rehabilitation,Informa UK Limited,1945-5119
Endokrynologia Polska,VM Media SP. zo.o VM Group SK,0423-104X
Endokrynologia Polska,VM Media SP. zo.o VM Group SK,2299-8306
Digestive Surgery,S. Karger AG,0253-4886
Digestive Surgery,S. Karger AG,1421-9883
Human Reproduction Update,Oxford University Press (OUP),1355-4786
Human Reproduction Update,Oxford University Press (OUP),1362-4946
Human Reproduction Update,Oxford University Press (OUP),1460-2369
REVIEWS ON ADVANCED MATERIALS SCIENCE,Walter de Gruyter GmbH,1605-8127
REVIEWS ON ADVANCED MATERIALS SCIENCE,Walter de Gruyter GmbH,1606-5131
European Journal of Wood and Wood Products,Springer Science and Business Media LLC,0018-3768
European Journal of Wood and Wood Products,Springer Science and Business Media LLC,1436-736X
International Journal of Environmental Research and Public Health,MDPI AG,1660-4601
International Journal of Environmental Research and Public Health,MDPI AG,1661-7827
Nucleic Acid Therapeutics,Mary Ann Liebert Inc,2159-3337
Nucleic Acid Therapeutics,Mary Ann Liebert Inc,2159-3345
European Journal of Cancer Care,Wiley,0961-5423
European Journal of Cancer Care,Wiley,1365-2354
Journal of the European Academy of Dermatology and Venereology,Wiley,0926-9959
Journal of the European Academy of Dermatology and Venereology,Wiley,1468-3083
Studies on Ethno-Medicine,Kamla Raj Enterprises,0973-5070
Studies on Ethno-Medicine,Kamla Raj Enterprises,2456-6772
Clinical Pharmacology & Therapeutics,Wiley,0009-9236
Clinical Pharmacology & Therapeutics,Wiley,1085-8733
Clinical Pharmacology & Therapeutics,Wiley,1532-6535
Nutrients,MDPI AG,2072-6643
Toxicological Sciences,Oxford University Press (OUP),1096-0929
Toxicological Sciences,Oxford University Press (OUP),1096-6080
Wiley Interdisciplinary Reviews: Computational Molecular Science,Wiley,1759-0876
Wiley Interdisciplinary Reviews: Computational Molecular Science,Wiley,1759-0884
Neuroscience,Elsevier BV,0306-4522
Neuroscience,Elsevier BV,1873-7544
Cancers,MDPI AG,2072-6694
Ecological Indicators,Elsevier BV,1470-160X
Ecological Indicators,Elsevier BV,1872-7034
European Law Review,Definitive International Institute of Life Science (DIILI Publication),0307-5400
Journal of Plant Physiology,Elsevier BV,0176-1617
Journal of Plant Physiology,Elsevier BV,1618-1328
Biophysical Chemistry,Elsevier BV,0301-4622
Biophysical Chemistry,Elsevier BV,1873-4200
Cancer Prevention Research,American Association for Cancer Research (AACR),1940-6207
Cancer Prevention Research,American Association for Cancer Research (AACR),1940-6215
Physics Letters B,Elsevier BV,0370-2693
Physics Letters B,Elsevier BV,1873-2445
Texas Heart Institute Journal,Texas Heart Institute Journal,0730-2347
Texas Heart Institute Journal,Texas Heart Institute Journal,1526-6702
Clinical Epigenetics,Springer Nature,1868-7075
Clinical Epigenetics,Springer Nature,1868-7083
Control Engineering Practice,Elsevier BV,0967-0661
Control Engineering Practice,Elsevier BV,1873-6939
Canadian Journal of Philosophy,Informa UK Limited,0045-5091
Canadian Journal of Philosophy,Informa UK Limited,1911-0820
Nanoscience and Nanotechnology Letters,American Scientific Publishers,1941-4900
Nanoscience and Nanotechnology Letters,American Scientific Publishers,1941-4919
Postępy Higieny i Medycyny Doświadczalnej,Index Copernicus,0032-5449
Postępy Higieny i Medycyny Doświadczalnej,Index Copernicus,1732-2693
World Journal of Clinical Cases,Baishideng Publishing Group Inc.,2307-8960
Journal of Ocular Pharmacology and Therapeutics,Mary Ann Liebert Inc,1080-7683
Journal of Ocular Pharmacology and Therapeutics,Mary Ann Liebert Inc,1557-7732
The Lancet,Elsevier BV,0140-6736
The Lancet,Elsevier BV,1474-547X
International Journal of Offender Therapy and Comparative Criminology,SAGE Publications,0306-624X
International Journal of Offender Therapy and Comparative Criminology,SAGE Publications,1552-6933
The Anthropocene Review,SAGE Publications,2053-0196
Journal of Oncology Practice,American Society of Clinical Oncology (ASCO),1554-7477
Journal of Oncology Practice,American Society of Clinical Oncology (ASCO),1935-469X
Tissue Engineering and Regenerative Medicine,Springer Science and Business Media LLC,1738-2696
Tissue Engineering and Regenerative Medicine,Springer Science and Business Media LLC,2212-5469
Journal of Sandwich Structures & Materials,SAGE Publications,1099-6362
Journal of Sandwich Structures & Materials,SAGE Publications,1530-7972
BMB Reports,Korean Society for Biochemistry and Molecular Biology - BMB Reports,1976-6696
BMB Reports,Korean Society for Biochemistry and Molecular Biology - BMB Reports,1976-670X
Ethology Ecology & Evolution,Informa UK Limited,0394-9370
Ethology Ecology & Evolution,Informa UK Limited,1828-7131
Clinical Rheumatology,Springer Science and Business Media LLC,0770-3198
Cancer Cell International,Springer Nature,1475-2867
Dermatologic Therapy,Wiley,1396-0296
Dermatologic Therapy,Wiley,1529-8019
Fish Physiology and Biochemistry,Springer Science and Business Media LLC,0920-1742
Fish Physiology and Biochemistry,Springer Science and Business Media LLC,1573-5168
Annals of Internal Medicine,American College of Physicians,0003-4819
Annals of Internal Medicine,American College of Physicians,1539-3704
Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),0732-183X
Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),1527-7755
Russian Journal of Developmental Biology,Pleiades Publishing Ltd,1062-3604
Russian Journal of Developmental Biology,Pleiades Publishing Ltd,1608-3326
JAIDS Journal of Acquired Immune Deficiency Syndromes,Ovid Technologies (Wolters Kluwer Health),1525-4135
JAIDS Journal of Acquired Immune Deficiency Syndromes,Ovid Technologies (Wolters Kluwer Health),1944-7884
Human Vaccines & Immunotherapeutics,Informa UK Limited,2164-5515
Human Vaccines & Immunotherapeutics,Informa UK Limited,2164-554X
Current Infectious Disease Reports,Springer Science and Business Media LLC,1523-3847
Current Infectious Disease Reports,Springer Science and Business Media LLC,1534-3146
Journal of Digestive Diseases,Wiley,1751-2972
Journal of Digestive Diseases,Wiley,1751-2980
Australian Health Review,CSIRO Publishing,0156-5788
Australian Health Review,CSIRO Publishing,1449-8944
Applied Nursing Research,Elsevier BV,0897-1897
Applied Nursing Research,Elsevier BV,1532-8201
Brain Structure and Function,Springer Science and Business Media LLC,1863-2653
Brain Structure and Function,Springer Science and Business Media LLC,1863-2661
International Journal of Geriatric Psychiatry,Wiley,0885-6230
International Journal of Geriatric Psychiatry,Wiley,1099-1166
British Journal of Guidance & Counselling,Informa UK Limited,0306-9885
British Journal of Guidance & Counselling,Informa UK Limited,1469-3534
Vasa,Hogrefe Publishing Group,0301-1526
Vasa,Hogrefe Publishing Group,1664-2872
Medical Microbiology and Immunology,Springer Science and Business Media LLC,0300-8584
Medical Microbiology and Immunology,Springer Science and Business Media LLC,1432-1831
Journal of Ophthalmology,Hindawi Limited,2090-004X
Journal of Ophthalmology,Hindawi Limited,2090-0058
MedChemComm,Royal Society of Chemistry (RSC),2040-2503
MedChemComm,Royal Society of Chemistry (RSC),2040-2511
Celestial Mechanics and Dynamical Astronomy,Springer Science and Business Media LLC,0923-2958
Celestial Mechanics and Dynamical Astronomy,Springer Science and Business Media LLC,1572-9478
Lung Cancer,Elsevier BV,0169-5002
Lung Cancer,Elsevier BV,1872-8332
Infectious Diseases of Poverty,Springer Nature,2049-9957
Infectious Diseases of Poverty,Springer Nature,2095-5162
Journal of Prosthodontic Research,Elsevier BV,1883-1958
Journal of Prosthodontic Research,Elsevier BV,1883-9207
Journal of Prosthodontic Research,Elsevier BV,2212-4632
Bioscience Reports,Portland Press Ltd.,0144-8463
Bioscience Reports,Portland Press Ltd.,1573-4935
Journal of Nuclear Cardiology,Springer Science and Business Media LLC,1071-3581
Journal of Nuclear Cardiology,Springer Science and Business Media LLC,1532-6551
AEU - International Journal of Electronics and Communications,Elsevier BV,1434-8411
AEU - International Journal of Electronics and Communications,Elsevier BV,1618-0399
International Journal of Food Sciences and Nutrition,Informa UK Limited,0963-7486
International Journal of Food Sciences and Nutrition,Informa UK Limited,1465-3478
Asia-Pacific Psychiatry,Wiley,1758-5864
Asia-Pacific Psychiatry,Wiley,1758-5872
International Journal of Clothing Science and Technology,Emerald,0955-6222
International Journal of Clothing Science and Technology,Emerald,1758-5953
"Nanomedicine: Nanotechnology, Biology and Medicine",Elsevier BV,1549-9634
"Nanomedicine: Nanotechnology, Biology and Medicine",Elsevier BV,1549-9642
Peritoneal Dialysis International,MultiMed Inc.,0896-8608
Peritoneal Dialysis International,MultiMed Inc.,1718-4304
American Journal of Enology and Viticulture,American Society for Enology and Viticulture,0002-9254
American Journal of Enology and Viticulture,American Society for Enology and Viticulture,1943-7749
Earthquake Spectra,Earthquake Engineering Research Institute,1944-8201
Earthquake Spectra,Earthquake Engineering Research Institute,8755-2930
Clinics in Dermatology,Elsevier BV,0738-081X
Clinics in Dermatology,Elsevier BV,1879-1131
Pharmaceutics,MDPI AG,1999-4923
Journal of Phycology,Wiley,0022-3646
Journal of Phycology,Wiley,1529-8817
Pesquisa Agropecuária Brasileira,FapUNIFESP (SciELO),0100-204X
Pesquisa Agropecuária Brasileira,FapUNIFESP (SciELO),1678-3921
The European Journal of Orthodontics,Oxford University Press (OUP),0141-5387
The European Journal of Orthodontics,Oxford University Press (OUP),1460-2210
Social Psychiatry and Psychiatric Epidemiology,Springer Science and Business Media LLC,0933-7954
Social Psychiatry and Psychiatric Epidemiology,Springer Science and Business Media LLC,1433-9285
Australasian Psychiatry,SAGE Publications,1039-8562
Australasian Psychiatry,SAGE Publications,1440-1665
"Heart, Lung and Circulation",Elsevier BV,1443-9506
"Heart, Lung and Circulation",Elsevier BV,1444-2892
Cardiology,S. Karger AG,0008-6312
Cardiology,S. Karger AG,1421-9751
Luminescence,Wiley,1522-7235
Luminescence,Wiley,1522-7243
Journal of Youth Studies,Informa UK Limited,1367-6261
Journal of Youth Studies,Informa UK Limited,1469-9680
Food and Chemical Toxicology,Elsevier BV,0278-6915
Food and Chemical Toxicology,Elsevier BV,1873-6351
Operative Dentistry,Operative Dentistry,0361-7734
Operative Dentistry,Operative Dentistry,1559-2863
Cytology and Genetics,Allerton Press,0095-4527
Cytology and Genetics,Allerton Press,1934-9440
Physical Review Letters,American Physical Society (APS),0031-9007
Physical Review Letters,American Physical Society (APS),1079-7114
Physical Review Letters,American Physical Society (APS),1092-0145
Clinical Orthopaedics and Related Research®,Ovid Technologies (Wolters Kluwer Health),0009-921X
Clinical Orthopaedics and Related Research®,Ovid Technologies (Wolters Kluwer Health),1528-1132
Chemical Biology & Drug Design,Wiley,1747-0277
Chemical Biology & Drug Design,Wiley,1747-0285
Photochemistry and Photobiology,Wiley,0031-8655
Photochemistry and Photobiology,Wiley,1751-1097
Journal of Comparative Pathology,Elsevier BV,0021-9975
Journal of Comparative Pathology,Elsevier BV,1532-3129
Polymer Degradation and Stability,Elsevier BV,0141-3910
Polymer Degradation and Stability,Elsevier BV,1873-2321
Current Rheumatology Reports,Springer Science and Business Media LLC,1523-3774
Current Rheumatology Reports,Springer Science and Business Media LLC,1534-6307
Journal of Corporate Finance,Elsevier BV,0929-1199
Journal of Corporate Finance,Elsevier BV,1872-6313
Chemical Physics Letters,Elsevier BV,0009-2614
Chemical Physics Letters,Elsevier BV,1873-4448
"Estuarine, Coastal and Shelf Science",Elsevier BV,0272-7714
"Estuarine, Coastal and Shelf Science",Elsevier BV,1096-0015
The Breast Journal,Wiley,1075-122X
The Breast Journal,Wiley,1524-4741
Journal of Mathematical Economics,Elsevier BV,0304-4068
Journal of Mathematical Economics,Elsevier BV,1873-1538
Research in Sports Medicine,Informa UK Limited,1543-8627
Research in Sports Medicine,Informa UK Limited,1543-8635
Catalysts,MDPI AG,2073-4344
Journal of Applied Spectroscopy,Springer Science and Business Media LLC,0021-9037
Journal of Applied Spectroscopy,Springer Science and Business Media LLC,1573-8647
Drug and Alcohol Dependence,Elsevier BV,0376-8716
Drug and Alcohol Dependence,Elsevier BV,1879-0046
Journal of Molecular Graphics and Modelling,Elsevier BV,1093-3263
Journal of Molecular Graphics and Modelling,Elsevier BV,1873-4243
Applied Surface Science,Elsevier BV,0169-4332
Applied Surface Science,Elsevier BV,1873-5584
Annual Review of Food Science and Technology,Annual Reviews,1941-1413
Annual Review of Food Science and Technology,Annual Reviews,1941-1421
BMC Neuroscience,Springer Nature,1471-2202
Neurotoxicology and Teratology,Elsevier BV,0892-0362
Neurotoxicology and Teratology,Elsevier BV,1872-9738
Thrombosis Research,Elsevier BV,0049-3848
Thrombosis Research,Elsevier BV,1879-2472
Frontiers in Life Science,Informa UK Limited,2155-3769
Frontiers in Life Science,Informa UK Limited,2155-3777
Journal of Travel Medicine,Oxford University Press (OUP),1195-1982
Journal of Travel Medicine,Oxford University Press (OUP),1708-8305
Plant Biotechnology Journal,Wiley,1467-7644
Plant Biotechnology Journal,Wiley,1467-7652
Fluctuation and Noise Letters,World Scientific Pub Co Pte Lt,0219-4775
Fluctuation and Noise Letters,World Scientific Pub Co Pte Lt,1793-6780
Journal of the American College of Nutrition,Informa UK Limited,0731-5724
Journal of the American College of Nutrition,Informa UK Limited,1541-1087
Daphnis,Brill,0300-693X
Daphnis,Brill,1879-6583
Clinical Oral Implants Research,Wiley,0905-7161
Clinical Oral Implants Research,Wiley,1600-0501
Journal of Dermatological Science,Elsevier BV,0923-1811
Journal of Dermatological Science,Elsevier BV,1873-569X
Medical Science Monitor,"International Scientific Information, Inc.",1234-1010
Medical Science Monitor,"International Scientific Information, Inc.",1643-3750
Biosystems Engineering,Elsevier BV,1537-5110
Biosystems Engineering,Elsevier BV,1537-5129
The Bulletin of Symbolic Logic,Cambridge University Press (CUP),1079-8986
The Bulletin of Symbolic Logic,Cambridge University Press (CUP),1943-5894
Rapid Communications in Mass Spectrometry,Wiley,0951-4198
Rapid Communications in Mass Spectrometry,Wiley,1097-0231
Neuropsychologia,Elsevier BV,0028-3932
Neuropsychologia,Elsevier BV,1873-3514
Ophthalmic Genetics,Informa UK Limited,1381-6810
Ophthalmic Genetics,Informa UK Limited,1744-5094
Revista Romana de Medicina de Laborator,Walter de Gruyter GmbH,1841-6624
Revista Romana de Medicina de Laborator,Walter de Gruyter GmbH,2284-5623
Technical Physics,Pleiades Publishing Ltd,1063-7842
Technical Physics,Pleiades Publishing Ltd,1090-6525
Medical Clinics of North America,Elsevier BV,0025-7125
Medical Clinics of North America,Elsevier BV,1557-9859
Journal of Psycholinguistic Research,Springer Science and Business Media LLC,0090-6905
Journal of Psycholinguistic Research,Springer Science and Business Media LLC,1573-6555
International Journal of Plasticity,Elsevier BV,0749-6419
International Journal of Plasticity,Elsevier BV,1879-2154
International Journal of Clinical Oncology,Springer Science and Business Media LLC,1341-9625
International Journal of Clinical Oncology,Springer Science and Business Media LLC,1437-7772
Acta Haematologica,S. Karger AG,0001-5792
Acta Haematologica,S. Karger AG,1421-9662
Food and Bioprocess Technology,Springer Science and Business Media LLC,1935-5130
Food and Bioprocess Technology,Springer Science and Business Media LLC,1935-5149
American Nineteenth Century History,Informa UK Limited,1466-4658
American Nineteenth Century History,Informa UK Limited,1743-7903
Acta Neuropathologica,Springer Science and Business Media LLC,0001-6322
Acta Neuropathologica,Springer Science and Business Media LLC,1432-0533
The International Journal of Oral & Maxillofacial Implants,Quintessence Publishing,0882-2786
The International Journal of Oral & Maxillofacial Implants,Quintessence Publishing,1086-6019
The International Journal of Oral & Maxillofacial Implants,Quintessence Publishing,1942-4434
The Biological Bulletin,University of Chicago Press,0006-3185
The Biological Bulletin,University of Chicago Press,1939-8697
Japanese Journal of Clinical Oncology,Oxford University Press (OUP),0368-2811
Japanese Journal of Clinical Oncology,Oxford University Press (OUP),1465-3621
American Journal of Public Health,American Public Health Association,0090-0036
American Journal of Public Health,American Public Health Association,1541-0048
International Journal of Medical Sciences,Ivyspring International Publisher,1449-1907
Geoforum,Elsevier BV,0016-7185
Geoforum,Elsevier BV,1872-9398
Orthopaedics & Traumatology: Surgery & Research,Elsevier BV,1877-0568
Journal of Cancer Research and Clinical Oncology,Springer Science and Business Media LLC,0171-5216
Journal of Cancer Research and Clinical Oncology,Springer Science and Business Media LLC,1432-1335
Physiology,American Physiological Society,1548-9213
Physiology,American Physiological Society,1548-9221
IEEE/ACM Transactions on Computational Biology and Bioinformatics,Institute of Electrical and Electronics Engineers (IEEE),1545-5963
IEEE/ACM Transactions on Computational Biology and Bioinformatics,Institute of Electrical and Electronics Engineers (IEEE),1557-9964
IEEE/ACM Transactions on Computational Biology and Bioinformatics,Institute of Electrical and Electronics Engineers (IEEE),2374-0043
Clinical Child Psychology and Psychiatry,SAGE Publications,1359-1045
Clinical Child Psychology and Psychiatry,SAGE Publications,1461-7021
Operative Neurosurgery,Oxford University Press (OUP),2332-4252
Operative Neurosurgery,Oxford University Press (OUP),2332-4260
Biomolecules & Therapeutics,The Korean Society of Applied Pharmacology,1976-9148
Biomolecules & Therapeutics,The Korean Society of Applied Pharmacology,2005-4483
Journal of Human Lactation,SAGE Publications,0890-3344
Journal of Human Lactation,SAGE Publications,1552-5732
Journal of Biomedical Optics,SPIE-Intl Soc Optical Eng,1083-3668
Journal of Biomedical Optics,SPIE-Intl Soc Optical Eng,1560-2281
Journal of Orthopaedic & Sports Physical Therapy,Journal of Orthopaedic & Sports Physical Therapy (JOSPT),0190-6011
Journal of Orthopaedic & Sports Physical Therapy,Journal of Orthopaedic & Sports Physical Therapy (JOSPT),1938-1344
Information Retrieval Journal,Springer Science and Business Media LLC,1386-4564
Information Retrieval Journal,Springer Science and Business Media LLC,1573-7659
Acta Geologica Sinica - English Edition,Wiley,1000-9515
Acta Geologica Sinica - English Edition,Wiley,1755-6724
Brazilian Oral Research,FapUNIFESP (SciELO),1806-8324
Brazilian Oral Research,FapUNIFESP (SciELO),1807-3107
European Journal of Pharmacology,Elsevier BV,0014-2999
European Journal of Pharmacology,Elsevier BV,1879-0712
Design Studies,Elsevier BV,0142-694X
Design Studies,Elsevier BV,1872-6909
American Journal of Otolaryngology,Elsevier BV,0196-0709
American Journal of Otolaryngology,Elsevier BV,1532-818X
Current Opinion in Structural Biology,Elsevier BV,0959-440X
Current Opinion in Structural Biology,Elsevier BV,1879-033X
Inorganic Chemistry Communications,Elsevier BV,1387-7003
Inorganic Chemistry Communications,Elsevier BV,1879-0259
Alexandria Engineering Journal,Elsevier BV,1110-0168
Alexandria Engineering Journal,Elsevier BV,2090-2670
